"UF","COD. UF","COD. MUNIC","NOME DO MUNICÍPIO","POPULAÇÃO ESTIMADA"
"SP",35,"50308","São Paulo",12106920
"RJ",33,"04557","Rio de Janeiro",6520266
"DF",53,"00108","Brasília",3039444
"BA",29,"27408","Salvador",2953986
"CE",23,"04400","Fortaleza",2627482
"MG",31,"06200","Belo Horizonte",2523794
"AM",13,"02603","Manaus",2130264
"PR",41,"06902","Curitiba",1908359
"PE",26,"11606","Recife",1633697
"RS",43,"14902","Porto Alegre",1484941
"GO",52,"08707","Goiânia",1466105
"PA",15,"01402","Belém",1452275
"SP",35,"18800","Guarulhos",1349113
"SP",35,"09502","Campinas",1182429
"MA",21,"11300","São Luís",1091868
"RJ",33,"04904","São Gonçalo",1049826
"AL",27,"04302","Maceió",1029129
"RJ",33,"01702","Duque de Caxias",890997
"RN",24,"08102","Natal",885180
"MS",50,"02704","Campo Grande",874210
"PI",22,"11001","Teresina",850198
"SP",35,"48708","São Bernardo do Campo",827437
"PB",25,"07507","João Pessoa",811598
"RJ",33,"03500","Nova Iguaçu",798647
"SP",35,"47809","Santo André",715231
"SP",35,"49904","São José dos Campos",703219
"SP",35,"34401","Osasco",697886
"PE",26,"07901","Jaboatão dos Guararapes",695956
"SP",35,"43402","Ribeirão Preto",682302
"MG",31,"70206","Uberlândia",676613
"SP",35,"52205","Sorocaba",659871
"MG",31,"18601","Contagem",658580
"SE",28,"00308","Aracaju",650106
"BA",29,"10800","Feira de Santana",627477
"MT",51,"03403","Cuiabá",590118
"SC",42,"09102","Joinville",577077
"MG",31,"36702","Juiz de Fora",563769
"PR",41,"13700","Londrina",558439
"GO",52,"01405","Aparecida de Goiânia",542090
"RO",11,"00205","Porto Velho",519436
"PA",15,"00800","Ananindeua",516057
"ES",32,"05002","Serra",502618
"RJ",33,"03302","Niterói",499028
"RJ",33,"00456","Belford Roxo",495783
"RJ",33,"01009","Campos dos Goytacazes",490288
"ES",32,"05200","Vila Velha",486388
"SC",42,"05407","Florianópolis",485838
"RS",43,"05108","Caxias do Sul",483377
"AP",16,"00303","Macapá",474706
"SP",35,"29401","Mauá",462005
"RJ",33,"05109","São João de Meriti",460461
"SP",35,"49805","São José do Rio Preto",450657
"SP",35,"48500","Santos",434742
"SP",35,"30607","Mogi das Cruzes",433901
"MG",31,"06705","Betim",427146
"SP",35,"13801","Diadema",417869
"PB",25,"04009","Campina Grande",410332
"SP",35,"25904","Jundiaí",409497
"PR",41,"15200","Maringá",406693
"MG",31,"43302","Montes Claros",402027
"SP",35,"38709","Piracicaba",397322
"SP",35,"10609","Carapicuíba",396587
"PE",26,"09600","Olinda",390771
"ES",32,"01308","Cariacica",387368
"AC",12,"00401","Rio Branco",383443
"GO",52,"01108","Anápolis",375142
"SP",35,"06003","Bauru",371690
"ES",32,"05309","Vitória",363140
"CE",23,"03709","Caucaia",362223
"SP",35,"23107","Itaquaquecetuba",360657
"SP",35,"51009","São Vicente",360380
"PE",26,"04106","Caruaru",356128
"BA",29,"33307","Vitória da Conquista",348718
"SC",42,"02404","Blumenau",348513
"SP",35,"16200","Franca",347237
"RS",43,"14407","Pelotas",344385
"PR",41,"19905","Ponta Grossa",344332
"RS",43,"04606","Canoas",343853
"PE",26,"11101","Petrolina",343219
"RR",14,"00100","Boa Vista",332020
"MG",31,"54606","Ribeirão das Neves",328871
"PE",26,"10707","Paulista",328353
"MG",31,"70107","Uberaba",328272
"PR",41,"04808","Cascavel",319608
"SP",35,"18701","Guarujá",315563
"SP",35,"41000","Praia Grande",310024
"SP",35,"54102","Taubaté",307953
"PR",41,"25506","São José dos Pinhais",307530
"SP",35,"26902","Limeira",300911
"RJ",33,"03906","Petrópolis",298235
"BA",29,"05701","Camaçari",296893
"PA",15,"06807","Santarém",296302
"RN",24,"08003","Mossoró",295619
"SP",35,"52502","Suzano",290769
"TO",17,"21000","Palmas",286787
"MG",31,"27701","Governador Valadares",280901
"SP",35,"52809","Taboão da Serra",279634
"RS",43,"16907","Santa Maria",278445
"RS",43,"09209","Gravataí",275146
"MT",51,"08402","Várzea Grande",274013
"SP",35,"52403","Sumaré",273007
"PA",15,"04208","Marabá",271594
"CE",23,"07304","Juazeiro do Norte",270383
"SP",35,"05708","Barueri",267534
"SP",35,"15004","Embu das Artes",267054
"RJ",33,"06305","Volta Redonda",265201
"PR",41,"08304","Foz do Iguaçu",264044
"MG",31,"31307","Ipatinga",261203
"RN",24,"03251","Parnamirim",254709
"MA",21,"05302","Imperatriz",254569
"RS",43,"23002","Viamão",253717
"RS",43,"13409","Novo Hamburgo",249508
"SP",35,"48906","São Carlos",246088
"RJ",33,"02403","Macaé",244139
"SC",42,"16602","São José",239718
"SP",35,"20509","Indaiatuba",239602
"SP",35,"13009","Cotia",237750
"RJ",33,"02502","Magé",237420
"PR",41,"05805","Colombo",237402
